size,Threads,time
1500,2,00:00:07.4236510
1500,2,00:00:07.3892716
1500,2,00:00:07.4400856
1500,2,00:00:07.4100377
1500,2,00:00:07.4818366
1500,2,00:00:08.0537329
1500,2,00:00:07.3825468
1500,2,00:00:07.4647263
1500,2,00:00:07.4447816
1500,2,00:00:07.3773419
1500,4,00:00:03.8488758
1500,4,00:00:03.8379819
1500,4,00:00:03.8493825
1500,4,00:00:03.8560333
1500,4,00:00:03.8243123
1500,4,00:00:03.8148497
1500,4,00:00:03.8586786
1500,4,00:00:03.8222666
1500,4,00:00:03.8570146
1500,4,00:00:03.8428649
1500,6,00:00:02.7256134
1500,6,00:00:02.7321423
1500,6,00:00:02.7285534
1500,6,00:00:02.7259395
1500,6,00:00:02.6983090
1500,6,00:00:02.7269216
1500,6,00:00:02.7274176
1500,6,00:00:02.7332545
1500,6,00:00:02.7251325
1500,6,00:00:02.7143574
1500,8,00:00:02.6788633
1500,8,00:00:02.7071667
1500,8,00:00:02.6711407
1500,8,00:00:02.6700233
1500,8,00:00:02.7124732
1500,8,00:00:02.6857182
1500,8,00:00:02.7185514
1500,8,00:00:02.6544199
1500,8,00:00:02.6570632
1500,8,00:00:02.6656253
1500,10,00:00:02.6118941
1500,10,00:00:02.5851810
1500,10,00:00:02.5702739
1500,10,00:00:02.6871108
1500,10,00:00:02.5831393
1500,10,00:00:02.6485751
1500,10,00:00:02.5945793
1500,10,00:00:03.0653938
1500,10,00:00:02.7209714
1500,10,00:00:02.5888758
1500,12,00:00:02.5531719
1500,12,00:00:02.5472633
1500,12,00:00:02.5544040
1500,12,00:00:02.5238948
1500,12,00:00:02.6905867
1500,12,00:00:02.4915738
1500,12,00:00:02.5925123
1500,12,00:00:02.6190966
1500,12,00:00:02.6352191
1500,12,00:00:02.4912627
