size,Threads,time
1500,2,00:00:10.9607991
1500,2,00:00:10.9296770
1500,2,00:00:10.9091120
1500,2,00:00:10.9146505
1500,2,00:00:10.9452515
1500,2,00:00:10.9464806
1500,2,00:00:10.9273633
1500,2,00:00:10.9525920
1500,2,00:00:10.9458464
1500,2,00:00:10.9459103
1500,4,00:00:10.9456827
1500,4,00:00:10.9314476
1500,4,00:00:10.9335107
1500,4,00:00:10.9520551
1500,4,00:00:10.9446898
1500,4,00:00:10.9351682
1500,4,00:00:10.9327796
1500,4,00:00:10.9442191
1500,4,00:00:10.9341223
1500,4,00:00:10.9226779
1500,6,00:00:10.9320528
1500,6,00:00:10.9185042
1500,6,00:00:10.9254093
1500,6,00:00:10.9202760
1500,6,00:00:10.9318812
1500,6,00:00:10.9594264
1500,6,00:00:10.9491149
1500,6,00:00:10.9499422
1500,6,00:00:10.9291789
1500,6,00:00:10.9512016
1500,8,00:00:10.9476355
1500,8,00:00:10.9303686
1500,8,00:00:11.0226536
1500,8,00:00:10.9454141
1500,8,00:00:10.9279024
1500,8,00:00:10.9438107
1500,8,00:00:10.9752143
1500,8,00:00:10.9662054
1500,8,00:00:10.9677007
1500,8,00:00:10.9403379
1500,10,00:00:10.9308674
1500,10,00:00:10.9403960
1500,10,00:00:10.9161928
1500,10,00:00:10.9528476
1500,10,00:00:10.9560409
1500,10,00:00:10.9456109
1500,10,00:00:10.9290324
1500,10,00:00:10.9452988
1500,10,00:00:10.9841043
1500,10,00:00:10.9276604
1500,12,00:00:10.9238712
1500,12,00:00:10.9646906
1500,12,00:00:10.9351473
1500,12,00:00:10.9380072
1500,12,00:00:10.9436728
1500,12,00:00:10.9529103
1500,12,00:00:10.9246757
1500,12,00:00:10.9489441
1500,12,00:00:10.9430580
1500,12,00:00:10.9315770
